Date,Open,High,Low,Close,Adj Close,Volume
1981-12-31,13.937500,14.000000,13.875000,13.968750,5.425990,449200
1982-01-04,13.750000,13.968750,13.500000,13.687500,5.316739,630400
1982-01-05,13.250000,13.468750,13.000000,13.000000,5.049689,1076800
1982-01-06,12.875000,12.968750,12.750000,12.875000,5.001133,1560400
1982-01-07,12.718750,12.937500,12.500000,12.625000,4.904024,1303600
1982-01-08,12.812500,12.906250,12.687500,12.781250,4.964719,991200
1982-01-11,12.593750,12.937500,12.250000,12.312500,4.782635,1479600
1982-01-12,12.500000,12.687500,12.281250,12.656250,4.916163,1089600
1982-01-13,12.656250,13.062500,12.218750,12.375000,4.806916,1231200
1982-01-14,12.531250,12.656250,12.375000,12.656250,4.916163,1068400
1982-01-15,12.687500,12.750000,12.593750,12.687500,4.928302,724400
1982-01-18,12.593750,12.781250,12.406250,12.781250,4.964719,897600
1982-01-19,12.593750,12.781250,12.406250,12.406250,4.819057,722000
1982-01-20,12.218750,12.437500,11.968750,12.187500,4.734082,1852800
1982-01-21,12.125000,12.312500,11.937500,12.062500,4.685530,1187200
1982-01-22,12.000000,12.156250,11.812500,11.812500,4.588418,868000
1982-01-25,12.093750,12.468750,11.687500,12.468750,4.843329,1900800
1982-01-26,12.375000,12.531250,12.187500,12.187500,4.734082,1143200
1982-01-27,12.468750,12.687500,12.250000,12.531250,4.867609,1310800
1982-01-28,12.875000,13.093750,12.625000,13.062500,5.073963,1169200
1982-01-29,13.437500,13.593750,13.281250,13.500000,5.243908,2861600
1982-02-01,12.937500,13.218750,12.656250,12.718750,4.940441,1345200
1982-02-02,12.781250,12.906250,12.625000,12.750000,4.952579,1434400
1982-02-03,12.500000,12.875000,12.125000,12.218750,4.746220,1294800
1982-02-04,12.312500,12.500000,12.125000,12.500000,4.855472,1818000
1982-02-05,12.656250,12.875000,12.406250,12.625000,4.904024,1472000
1982-02-08,12.218750,12.437500,12.000000,12.031250,4.673393,1396400
1982-02-09,12.093750,12.312500,11.875000,12.156250,4.721943,1279200
1982-02-10,12.375000,12.562500,12.156250,12.250000,4.758361,1146000
1982-02-11,12.093750,12.312500,11.875000,11.937500,4.636974,1359200
1982-02-12,12.031250,12.125000,11.906250,12.000000,4.661250,1182800
1982-02-16,12.093750,12.437500,11.750000,12.437500,4.831191,1678400
1982-02-17,12.343750,12.437500,12.218750,12.250000,4.758361,1125200
1982-02-18,12.312500,12.437500,12.187500,12.343750,4.794776,765200
1982-02-19,12.281250,12.406250,12.125000,12.218750,4.746220,774800
